# Constructed from biom file
#OTU ID	lane1TineA1	lane1TineA10	lane1TineA11	lane1TineA12	lane1TineA2	lane1TineA3	lane1TineA4	lane1TineA5	lane1TineA6	lane1TineA7	lane1TineA8	lane1TineA9	lane1TineB1	lane1TineB10	lane1TineB11	lane1TineB12	lane1TineB2	lane1TineB3	lane1TineB4	lane1TineB5	lane1TineB6	lane1TineB7	lane1TineB8	lane1TineB9	lane1TineC1	lane1TineC10	lane1TineC11	lane1TineC12	lane1TineC2	lane1TineC3	lane1TineC4	lane1TineC5	lane1TineC6	lane1TineC7	lane1TineC8	lane1TineC9	lane1TineD1	lane1TineD2	lane1TineD3	lane1TineD4	lane1TineD5	lane1TineD6
OANTIGEN-PWY	1.6812492641582872	0.0	6027.341864960701	289.17195987862596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.08520202167144	14571.797602830033	30189.84834628831	33627.73122903016	14113.275430701498	0.0	4880.978086901747	0.4	6379.313125229656	22040.21365936009	17313.89285429812	31994.17238136688	47562.47724890321	32510.798316307948	102.86489729585831	59.33740370052413	3753.975229081072	16105.013303264986	13626.342447482799	34448.82235283827	82544.42089161853	53429.49106558086	74355.18838010568	43954.70699280284	67747.47504010616	33443.72353329827	123.95160735495863	311.30533100551094	2302.279582316475	12215.02176446039	14115.203192334508
ORNARGDEG-PWY	0.0	0.0	13.672034184076557	128.4184151411067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.52598686290908	151.9642240065207	15402.14316151441	15287.753487187749	6473.24237993927	0.0	4733.298250616917	0.0	2514.6652175738172	8765.338763578102	7656.672537015407	13512.474572493602	23120.56756984305	15388.626017654664	0.0	0.0	0.0	7455.10177316646	5434.306711217454	65672.09549678654	25654.009749789646	730.6249474180486	33113.62261375589	35761.863988943514	72712.86545824875	15941.30493936293	0.0	38055.195700930824	0.0	5075.580679674625	5951.302871800286
ORNDEG-PWY	0.0	0.0	1400.0624960342132	150.7679473016937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.64464064900125	0.0	14424.489536651716	13340.452168373839	4298.157880638467	0.0	4223.232931576146	0.0	2017.6127667200294	7514.902032047318	6315.324847974365	11236.528905059644	20217.75920221809	14087.539757145894	0.0	0.0	0.0	6372.296223700201	4568.103937222121	77022.94032016919	20022.68929184162	1204.9734759404178	38184.90645717564	45698.96057946709	73910.97529117027	15711.458377945879	0.0	43456.56904255027	0.0	4270.072364647472	5152.710006321681
P101-PWY	4.760176909002755	0.0	521.2800466899957	88.64153268495018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.522421672770205	1045.1821531447752	1835.8391066315237	138.57470948259902	0.0	0.0	0.4	743.6441953544472	298.74587809106254	1288.3278191388576	992.3293755167604	2454.2483944727146	1265.6170973150672	70.01886027136337	0.0	0.0	264.17128591462796	224.88479054092144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.50282590229986	35.49237684622644	0.0013626505265424303	367.6874610968952	66.94329931921669
P105-PWY	6.077100615997934	0.0	7303.171538535401	57126.912514125106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.7849689739792	1124.7460403577895	40373.192298383765	43937.47458563467	23164.22792450092	0.0	6150.641419636227	0.7272663226310481	8364.459476985397	28579.53060697145	22403.21411391305	42360.58021549968	62952.40736240506	43837.8486837567	157.52925306234482	4.660796045229746e-06	4365.8191755408425	21556.304400262783	18645.462881276642	84683.44131318809	103910.6963001251	60647.26796397973	84612.13449713448	54931.06382652008	115783.43765113858	23251.866347641833	156.161261050658	45595.95372769074	3162.7770831434054	16137.232704071528	18779.984759564726
P108-PWY	5.9006282365652645	0.0	7696.5137461339655	20.46180809180237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.457157751245	249.12984091025496	6942.7224946095375	8045.246303567122	2681.0273852521736	0.0	0.0	0.5714285714285714	1681.0391757516686	2930.271372806577	4290.708988974481	6287.627590342506	11245.933227516083	6520.687457412719	126.11032663423367	7.494698735038832	0.0	2207.0536516205707	3328.148988992705	96.9233109300651	0.0	0.0	0.0	0.0	0.28688711160841734	0.0	48.1242678975312	31.771477287664062	3275.8998878221105	2277.89778955764	2158.639804049407
P122-PWY	0.0	0.0	868.8517980005151	5.982959499987702e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.567741048792755	20.84483093021215	2554.036625510131	2911.8260170980743	1268.7472790734457	0.0	0.0	0.0	859.0656550266855	715.1455870187843	2089.0351297448515	2871.8135083876136	3913.462451570245	1999.6822593618604	17.20904216494813	6.136060586690955	0.0	866.8549729159076	1323.620107236939	0.0	0.0	0.0	0.0	0.0	13.248990595127616	0.0	0.0	2.2486993108699	301.71424727301155	588.9760999411156	743.3738334429162
P124-PWY	0.0	0.0	1045.9621747081305	6.837667999989317e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.410417676596836	391.02117531082564	2887.4246620784843	3276.4849315835904	1459.0208802984612	0.0	0.0	0.4911787016815457	963.5986731048356	814.0178588255105	2338.560646044001	3247.4943251522564	4408.058260349034	2268.5375496524225	19.154482791329766	64.42520790070297	0.0	983.8313682301268	1495.9568742197541	0.0	0.0	0.0	0.0	0.0	15.141119380346602	0.0	0.0	2.569900391179261	578.5524976135276	669.1014931252338	843.4423201149702
P125-PWY	0.5025668555676551	0.0	899.0548403684626	47009.54094108373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037769478967424764	30138.303536984684	8601.649781934953	8461.655460454236	8938.750860523854	0.0	0.0	0.46153639838179744	2104.292058055253	6215.671349025611	4066.696044889765	9212.128755977079	12678.214635733671	9620.008985021072	50.30200494324868	6.023303884970649	7.103014327780517	5030.430462053328	4279.243521636487	33154.31632349501	5003.161430448704	3908.0636251958867	64631.025604039765	57940.83322281975	26421.835135792415	69641.10911711132	61.1795833792817	55.46621683497979	18.334480884964513	3429.420242188094	3800.163935635882
P161-PWY	4.795996224216873	0.0	1055.5665492271112	202.9002727686991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.20515639530177	104.76526575674029	35027.40047368103	34553.414975856926	23293.908688501335	0.0	6495.108852976738	0.7272727272727273	6614.957757986922	23677.414549965873	18139.57508846885	36356.41291236871	52017.59532312618	37759.23994191916	58.76149129299425	89.38674066953801	37.938365931035634	18268.396886486753	15388.407158861351	103198.45088587463	30549.680252817987	980.7732396197086	60626.41479215755	74411.08418683523	103375.71804991055	15119.892608571105	129.95412171360925	52370.73943456802	3265.1441174413817	13194.793265044533	15122.998960360213
P162-PWY	0.0	0.0	1903.3528782974474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1994.913873103291	334.07462438333675	0.003218831680902146	0.0	0.0	0.0	72.3095338283132	573.7174888124314	2507.4105736276456	1540.092518974408	980.1903516026588	2.4661590123155923	0.0	0.0	0.0	743.8677826228616	758.3792521062727	0.0	0.0	0.0	0.0	0.0	0.7822138028510837	0.0	0.0	62.66522953423453	0.0	30.474658641758992	0.00012875332859940605
P163-PWY	0.0	0.0	5597.165026272514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.52679223573395	191.45822217834262	276.05169840961264	0.0	0.0	0.0	152.21649397455704	23.755757951842423	316.712465554097	217.36155687568885	6.067536839182196	97.43355177145155	0.0	0.0	0.0	10.407672354106001	0.0	0.0	0.0	0.0	0.0	0.0	0.36078367494587266	0.0	0.0	11.713026782766608	0.0	0.0	6.545659996136853
P164-PWY	0.0	0.0	5455.36111642957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2578.13671969207	2436.41237947542	1895.5811610881717	0.0	0.0	0.0	166.99548560231182	410.85984194580715	4532.947834249135	1300.9689373966685	1183.8229537923903	302.43817412770784	0.0	0.0	0.0	2618.2561262598956	649.805172420452	0.0	0.0	0.0	0.0	0.0	345.36266393887047	0.0	0.0	597.8961542690523	0.0	93.02902895616651	0.006841605899960634
